timestamp,y_true,eq_step1_thr0.010_no_tc,eq_step1_thr0.010_tc,eq_step1_thr0.015_no_tc,eq_step1_thr0.015_tc,eq_step1_thr0.020_no_tc,eq_step1_thr0.020_tc,eq_step1_thr0.025_no_tc,eq_step1_thr0.025_tc,eq_step1_thr0.030_no_tc,eq_step1_thr0.030_tc,eq_mean_h_thr0.010_no_tc,eq_mean_h_thr0.010_tc,eq_mean_h_thr0.015_no_tc,eq_mean_h_thr0.015_tc,eq_mean_h_thr0.020_no_tc,eq_mean_h_thr0.020_tc,eq_mean_h_thr0.025_no_tc,eq_mean_h_thr0.025_tc,eq_mean_h_thr0.030_no_tc,eq_mean_h_thr0.030_tc
2018-01-11 16:00:00,13462.8095703125,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-11 17:00:00,13812.4697265625,97402.76979761301,97305.3670278154,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-11 18:00:00,13685.0,98301.6607764403,98203.35911566386,100922.85977153938,100821.93691176784,100922.85977153938,100821.93691176784,100000.0,100000.0,100000.0,100000.0,100922.85977153938,100821.93691176784,100922.85977153938,100821.93691176784,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-11 19:00:00,13904.990234375,99881.88769596246,99582.44179664996,100922.85977153938,100721.11497485607,100922.85977153938,100721.11497485607,100000.0,100000.0,100000.0,100000.0,102545.22320412514,102237.79262495918,100922.85977153938,100721.11497485607,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-11 20:00:00,13969.0,99422.09476451576,98925.7792697629,100922.85977153938,100721.11497485607,100922.85977153938,100721.11497485607,100000.0,100000.0,100000.0,100000.0,102073.16996333735,101563.6202905877,100458.27486415766,100157.2013139315,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-11 21:00:00,13867.4404296875,99422.09476451576,98826.85349049314,100922.85977153938,100721.11497485607,100922.85977153938,100721.11497485607,100000.0,100000.0,100000.0,100000.0,102073.16996333735,101462.05667029711,100458.27486415766,100057.04411261756,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-11 22:00:00,13600.009765625,99422.09476451576,98826.85349049314,100922.85977153938,100721.11497485607,100922.85977153938,100721.11497485607,100000.0,100000.0,100000.0,100000.0,102073.16996333735,101462.05667029711,100458.27486415766,100057.04411261756,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-11 23:00:00,13702.830078125,100173.7567875042,99474.44128862908,101685.86804571959,101381.11539750069,101685.86804571959,101381.11539750069,100000.0,100000.0,100000.0,100000.0,102844.87494108107,102126.91229964064,101217.77073164236,100712.69304401972,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-12 00:00:00,13399.0,100173.7567875042,99374.96684734045,101685.86804571959,101279.73428210319,101685.86804571959,101279.73428210319,100000.0,100000.0,100000.0,100000.0,102844.87494108107,102024.78538734099,101217.77073164236,100611.9803509757,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-12 01:00:00,13429.58984375,100402.4529266176,99502.2375140339,101918.01632656904,101409.44440642878,101918.01632656904,101409.44440642878,100228.29945331742,100128.0711538641,100000.0,100000.0,103079.66922833654,102155.44970721392,101448.85034888277,100740.83527513672,100228.29945331742,100128.0711538641,100000.0,100000.0,100000.0,100000.0
2018-01-12 02:00:00,13464.099609375,100402.4529266176,99402.73527651986,101918.01632656904,101308.03496202236,101918.01632656904,101308.03496202236,100228.29945331742,100027.94308271023,100000.0,100000.0,103079.66922833654,102053.2942575067,101448.85034888277,100640.09443986158,100228.29945331742,100027.94308271023,100000.0,100000.0,100000.0,100000.0
2018-01-12 03:00:00,13119.98046875,100402.4529266176,99402.73527651986,101918.01632656904,101308.03496202236,101918.01632656904,101308.03496202236,100228.29945331742,100027.94308271023,100000.0,100000.0,103079.66922833654,102053.2942575067,101448.85034888277,100640.09443986158,100228.29945331742,100027.94308271023,100000.0,100000.0,100000.0,100000.0
2018-01-12 04:00:00,13243.830078125,101350.22907650376,100240.73324653879,102880.09904768174,102162.09523922314,102880.09904768174,102162.09523922314,101174.43163432032,100871.21176153784,100943.97708647505,100843.03310938858,104052.7176866663,102913.63731731923,102406.50425066859,101488.52375730954,101174.43163432032,100871.21176153784,100943.97708647505,100843.03310938858,100943.97708647505,100843.03310938858
2018-01-12 05:00:00,13057.48046875,101350.22907650376,100140.49251329225,102880.09904768174,102059.93314398392,102880.09904768174,102059.93314398392,101174.43163432032,100770.3405497763,100943.97708647505,100742.19007627919,104052.7176866663,102810.7236800019,102406.50425066859,101387.03523355223,101174.43163432032,100770.3405497763,100943.97708647505,100742.19007627919,100943.97708647505,100742.19007627919
